model,param1_name,param2_name,param1,param2,n_trials,sigma,prior_scale,n,original_pd_rate,fd_pd_rate,ad_pd_rate,original_numerical_failure_rate,fd_numerical_failure_rate,structural_laplace_failure_rate,median_original_ad_rel_error,median_fd_ad_rel_error,median_original_min_eig,median_fd_min_eig,median_ad_min_eig,median_original_log10_condition,median_fd_log10_condition,median_ad_log10_condition,median_abs_delta_loge_original_ad,median_abs_delta_loge_fd_ad
categorical,alpha,beta,0.05,0.25,50,0.1,0.1,20,0.7,0.7,0.7,0.0,0.0,0.3,3.912864408025519e-05,2.1960485141857182e-07,1.2043536611971164,1.2043596335854532,1.2043594927249037,0.41309630644216344,0.4130531578180906,0.4130531230195294,1.4056361990810728e-05,2.7119999757019286e-07
categorical,alpha,beta,0.05,0.5,50,0.1,0.1,20,0.85,0.85,0.85,0.0,0.0,0.15,3.071389806485696e-05,2.1954077842460262e-07,1.444659538236364,1.4447879453591654,1.4447879226821438,0.5252610651983773,0.5252458378659105,0.5252459648621259,3.1647106524701485e-05,4.098713617395333e-07
categorical,alpha,beta,0.05,1.0,50,0.1,0.1,20,0.8,0.8,0.8,0.0,0.0,0.2,6.007877965497707e-05,3.9407813412666753e-07,0.7527049354973088,0.7527408045565129,0.7527420189546966,0.9824893358310036,0.9824763253978859,0.9824765046334043,7.272838654870384e-05,5.871710975213773e-07
categorical,alpha,beta,0.05,3.0,50,0.1,0.1,20,0.95,0.95,0.95,0.0,0.0,0.05,6.0927147832188685e-05,2.1099110780507523e-07,0.9048556684205218,0.9048990289882146,0.9048990781828289,1.768861209553548,1.7688519880577651,1.768851841462396,7.394488464740334e-05,2.7901347010583777e-07
categorical,alpha,beta,0.05,8.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0002474154384266,1.1997636958318199e-06,0.26664043994960257,0.2667134352245143,0.2667134585951577,3.5415050493144324,3.5415442811564883,3.541543860671572,0.00028639503180015,7.12630148669291e-07
categorical,alpha,beta,0.25,0.25,50,0.1,0.1,20,0.8,0.8,0.8,0.0,0.0,0.2,2.9746962190497216e-05,2.9585719959744734e-07,1.053793396128128,1.0538979487963167,1.0538968754584155,0.7054031460615058,0.7053619860839184,0.7053622983162597,4.698028847016644e-05,5.608912232446528e-07
categorical,alpha,beta,0.25,0.5,50,0.1,0.1,20,0.95,0.95,0.95,0.0,0.0,0.05,5.0536323413480694e-05,1.59268420832891e-07,1.6190094535264665,1.6190809155158261,1.619080863293715,0.5948595853759105,0.5948212913469382,0.5948210040732519,3.855711122469074e-05,3.374793564603351e-07
categorical,alpha,beta,0.25,1.0,50,0.1,0.1,20,0.9,0.9,0.9,0.0,0.0,0.1,4.484306117132703e-05,1.560754935401208e-07,1.6017058021171084,1.6016239136720074,1.6016238037420996,0.7762756453201782,0.7762822226213429,0.77628214351617,4.0170734109779005e-05,1.5373822392916736e-07
categorical,alpha,beta,0.25,3.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,4.093687898217851e-05,4.2036469285573506e-08,1.407142368144132,1.4070814691196083,1.407081335450962,1.8650285988382422,1.8650854498988765,1.8650854703511954,2.9834600184130977e-05,9.632136865889153e-08
categorical,alpha,beta,0.25,8.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,4.432930824314827e-05,6.088194473824903e-08,0.3428449844975887,0.34287848981831553,0.34287847642130914,2.381390445776484,2.3813362137850085,2.381336209816598,7.597542861548234e-05,5.416683546144441e-08
categorical,alpha,beta,0.5,0.25,50,0.1,0.1,20,0.85,0.85,0.85,0.0,0.0,0.15,3.222714469861434e-05,1.7909855575773342e-07,1.974523158933747,1.9745308970594646,1.9745301703101548,0.442285533369032,0.4423003762962841,0.442300616739596,2.0996436667530816e-05,2.6431084165778884e-07
categorical,alpha,beta,0.5,0.5,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,2.8992469417957138e-05,1.5592811845204885e-07,3.105805081996249,3.1058844012592797,3.1058844062492867,0.8532685155744493,0.8532481123028639,0.8532481364180672,1.9805906827485842e-05,1.9104766124655728e-07
categorical,alpha,beta,0.5,1.0,50,0.1,0.1,20,0.95,0.95,0.95,0.0,0.0,0.05,2.4202070730032213e-05,7.855639405491511e-08,2.6812727248373527,2.6813679045548398,2.6813676720282604,0.8472464016005877,0.8472229237823692,0.8472230210124991,1.5835664974872543e-05,1.4331713771298382e-07
